weather_type,score
微风,10
1级,10
1~2级,10
1-2级,10
< 3级,10
2级,9
3级,8
≤3级,9
<3级,9
 ≤3级 ,9
3～4级,8
3-4级,8
4级,7
4～5级,7
4-5级,7
5级,6
5～6级,6
5-6级,6
6级,5
6～7级,5
6-7级,5
7～8级,4
7-8级,4
8～9级,4
9~10级,3
10~11级,2
11~12级,1
～11级,1
8~9级,4
7~8级,4
6~7级,5
5~6级,6
44级,7
4~5级,7
3~4级,8
