weather_type,score
Null,10
冻雨,6
雨夹雪,6
小雪,8
雪,9
阵雪,8
小雪-中雪,7
小到中雪,7
中雪,5
中雪-大雪,4
中到大雪,4
大雪,3
大雪-暴雪,2
暴雪,1
